-------------------------------------FAILURES AT 12 KHZ----------------------------------------
Failed at 4 conv, 64 nodes, 1 dense, 5 kernel_size, 0.5 dropout, max pooling, 2 pool_size
Failed at 5 conv, 64 nodes, 1 dense, 5 kernel_size, 0.5 dropout, max pooling, 2 pool_size
Failed at 1 conv, 32 nodes, 0 dense, 3 kernel_size, 0.3 dropout, mean pooling, 2 pool_size
Failed at 2 conv, 32 nodes, 0 dense, 3 kernel_size, 0.3 dropout, mean pooling, 2 pool_size
Failed at 3 conv, 32 nodes, 0 dense, 3 kernel_size, 0.3 dropout, mean pooling, 2 pool_size
Failed at 4 conv, 32 nodes, 0 dense, 3 kernel_size, 0.3 dropout, mean pooling, 2 pool_size
Failed at 5 conv, 32 nodes, 0 dense, 3 kernel_size, 0.3 dropout, mean pooling, 2 pool_size
Failed at 1 conv, 64 nodes, 0 dense, 3 kernel_size, 0.3 dropout, mean pooling, 2 pool_size
Failed at 2 conv, 64 nodes, 0 dense, 3 kernel_size, 0.3 dropout, mean pooling, 2 pool_size
Failed at 3 conv, 64 nodes, 0 dense, 3 kernel_size, 0.3 dropout, mean pooling, 2 pool_size
Failed at 4 conv, 64 nodes, 0 dense, 3 kernel_size, 0.3 dropout, mean pooling, 2 pool_size
Failed at 5 conv, 64 nodes, 0 dense, 3 kernel_size, 0.3 dropout, mean pooling, 2 pool_size
Failed at 1 conv, 32 nodes, 1 dense, 3 kernel_size, 0.3 dropout, mean pooling, 2 pool_size
Failed at 2 conv, 32 nodes, 1 dense, 3 kernel_size, 0.3 dropout, mean pooling, 2 pool_size
Failed at 3 conv, 32 nodes, 1 dense, 3 kernel_size, 0.3 dropout, mean pooling, 2 pool_size
Failed at 4 conv, 32 nodes, 1 dense, 3 kernel_size, 0.3 dropout, mean pooling, 2 pool_size
Failed at 5 conv, 32 nodes, 1 dense, 3 kernel_size, 0.3 dropout, mean pooling, 2 pool_size
Failed at 1 conv, 64 nodes, 1 dense, 3 kernel_size, 0.3 dropout, mean pooling, 2 pool_size
Failed at 2 conv, 64 nodes, 1 dense, 3 kernel_size, 0.3 dropout, mean pooling, 2 pool_size
Failed at 3 conv, 64 nodes, 1 dense, 3 kernel_size, 0.3 dropout, mean pooling, 2 pool_size
Failed at 4 conv, 64 nodes, 1 dense, 3 kernel_size, 0.3 dropout, mean pooling, 2 pool_size
Failed at 5 conv, 64 nodes, 1 dense, 3 kernel_size, 0.3 dropout, mean pooling, 2 pool_size
Failed at 1 conv, 32 nodes, 0 dense, 3 kernel_size, 0.5 dropout, mean pooling, 2 pool_size
Failed at 2 conv, 32 nodes, 0 dense, 3 kernel_size, 0.5 dropout, mean pooling, 2 pool_size
Failed at 3 conv, 32 nodes, 0 dense, 3 kernel_size, 0.5 dropout, mean pooling, 2 pool_size
Failed at 4 conv, 32 nodes, 0 dense, 3 kernel_size, 0.5 dropout, mean pooling, 2 pool_size
Failed at 5 conv, 32 nodes, 0 dense, 3 kernel_size, 0.5 dropout, mean pooling, 2 pool_size
Failed at 1 conv, 64 nodes, 0 dense, 3 kernel_size, 0.5 dropout, mean pooling, 2 pool_size
Failed at 2 conv, 64 nodes, 0 dense, 3 kernel_size, 0.5 dropout, mean pooling, 2 pool_size
Failed at 3 conv, 64 nodes, 0 dense, 3 kernel_size, 0.5 dropout, mean pooling, 2 pool_size
Failed at 4 conv, 64 nodes, 0 dense, 3 kernel_size, 0.5 dropout, mean pooling, 2 pool_size
Failed at 5 conv, 64 nodes, 0 dense, 3 kernel_size, 0.5 dropout, mean pooling, 2 pool_size
Failed at 1 conv, 32 nodes, 1 dense, 3 kernel_size, 0.5 dropout, mean pooling, 2 pool_size
Failed at 2 conv, 32 nodes, 1 dense, 3 kernel_size, 0.5 dropout, mean pooling, 2 pool_size
Failed at 3 conv, 32 nodes, 1 dense, 3 kernel_size, 0.5 dropout, mean pooling, 2 pool_size
Failed at 4 conv, 32 nodes, 1 dense, 3 kernel_size, 0.5 dropout, mean pooling, 2 pool_size
Failed at 5 conv, 32 nodes, 1 dense, 3 kernel_size, 0.5 dropout, mean pooling, 2 pool_size
Failed at 1 conv, 64 nodes, 1 dense, 3 kernel_size, 0.5 dropout, mean pooling, 2 pool_size
Failed at 2 conv, 64 nodes, 1 dense, 3 kernel_size, 0.5 dropout, mean pooling, 2 pool_size
Failed at 3 conv, 64 nodes, 1 dense, 3 kernel_size, 0.5 dropout, mean pooling, 2 pool_size
Failed at 4 conv, 64 nodes, 1 dense, 3 kernel_size, 0.5 dropout, mean pooling, 2 pool_size
Failed at 5 conv, 64 nodes, 1 dense, 3 kernel_size, 0.5 dropout, mean pooling, 2 pool_size
Failed at 1 conv, 32 nodes, 0 dense, 5 kernel_size, 0.3 dropout, mean pooling, 2 pool_size
Failed at 2 conv, 32 nodes, 0 dense, 5 kernel_size, 0.3 dropout, mean pooling, 2 pool_size
Failed at 3 conv, 32 nodes, 0 dense, 5 kernel_size, 0.3 dropout, mean pooling, 2 pool_size
Failed at 4 conv, 32 nodes, 0 dense, 5 kernel_size, 0.3 dropout, mean pooling, 2 pool_size
Failed at 5 conv, 32 nodes, 0 dense, 5 kernel_size, 0.3 dropout, mean pooling, 2 pool_size
Failed at 1 conv, 64 nodes, 0 dense, 5 kernel_size, 0.3 dropout, mean pooling, 2 pool_size
Failed at 2 conv, 64 nodes, 0 dense, 5 kernel_size, 0.3 dropout, mean pooling, 2 pool_size
Failed at 3 conv, 64 nodes, 0 dense, 5 kernel_size, 0.3 dropout, mean pooling, 2 pool_size
Failed at 4 conv, 64 nodes, 0 dense, 5 kernel_size, 0.3 dropout, mean pooling, 2 pool_size
Failed at 5 conv, 64 nodes, 0 dense, 5 kernel_size, 0.3 dropout, mean pooling, 2 pool_size
Failed at 1 conv, 32 nodes, 1 dense, 5 kernel_size, 0.3 dropout, mean pooling, 2 pool_size
Failed at 2 conv, 32 nodes, 1 dense, 5 kernel_size, 0.3 dropout, mean pooling, 2 pool_size
Failed at 3 conv, 32 nodes, 1 dense, 5 kernel_size, 0.3 dropout, mean pooling, 2 pool_size
Failed at 4 conv, 32 nodes, 1 dense, 5 kernel_size, 0.3 dropout, mean pooling, 2 pool_size
Failed at 5 conv, 32 nodes, 1 dense, 5 kernel_size, 0.3 dropout, mean pooling, 2 pool_size
Failed at 1 conv, 64 nodes, 1 dense, 5 kernel_size, 0.3 dropout, mean pooling, 2 pool_size
Failed at 2 conv, 64 nodes, 1 dense, 5 kernel_size, 0.3 dropout, mean pooling, 2 pool_size
Failed at 3 conv, 64 nodes, 1 dense, 5 kernel_size, 0.3 dropout, mean pooling, 2 pool_size
Failed at 4 conv, 64 nodes, 1 dense, 5 kernel_size, 0.3 dropout, mean pooling, 2 pool_size
Failed at 5 conv, 64 nodes, 1 dense, 5 kernel_size, 0.3 dropout, mean pooling, 2 pool_size
Failed at 1 conv, 32 nodes, 0 dense, 5 kernel_size, 0.5 dropout, mean pooling, 2 pool_size
Failed at 2 conv, 32 nodes, 0 dense, 5 kernel_size, 0.5 dropout, mean pooling, 2 pool_size
Failed at 3 conv, 32 nodes, 0 dense, 5 kernel_size, 0.5 dropout, mean pooling, 2 pool_size
Failed at 4 conv, 32 nodes, 0 dense, 5 kernel_size, 0.5 dropout, mean pooling, 2 pool_size
Failed at 5 conv, 32 nodes, 0 dense, 5 kernel_size, 0.5 dropout, mean pooling, 2 pool_size
Failed at 1 conv, 64 nodes, 0 dense, 5 kernel_size, 0.5 dropout, mean pooling, 2 pool_size
Failed at 2 conv, 64 nodes, 0 dense, 5 kernel_size, 0.5 dropout, mean pooling, 2 pool_size
Failed at 3 conv, 64 nodes, 0 dense, 5 kernel_size, 0.5 dropout, mean pooling, 2 pool_size
Failed at 4 conv, 64 nodes, 0 dense, 5 kernel_size, 0.5 dropout, mean pooling, 2 pool_size
Failed at 5 conv, 64 nodes, 0 dense, 5 kernel_size, 0.5 dropout, mean pooling, 2 pool_size
Failed at 1 conv, 32 nodes, 1 dense, 5 kernel_size, 0.5 dropout, mean pooling, 2 pool_size
Failed at 2 conv, 32 nodes, 1 dense, 5 kernel_size, 0.5 dropout, mean pooling, 2 pool_size
Failed at 3 conv, 32 nodes, 1 dense, 5 kernel_size, 0.5 dropout, mean pooling, 2 pool_size
Failed at 4 conv, 32 nodes, 1 dense, 5 kernel_size, 0.5 dropout, mean pooling, 2 pool_size
Failed at 5 conv, 32 nodes, 1 dense, 5 kernel_size, 0.5 dropout, mean pooling, 2 pool_size
Failed at 1 conv, 64 nodes, 1 dense, 5 kernel_size, 0.5 dropout, mean pooling, 2 pool_size
Failed at 2 conv, 64 nodes, 1 dense, 5 kernel_size, 0.5 dropout, mean pooling, 2 pool_size
Failed at 3 conv, 64 nodes, 1 dense, 5 kernel_size, 0.5 dropout, mean pooling, 2 pool_size
Failed at 4 conv, 64 nodes, 1 dense, 5 kernel_size, 0.5 dropout, mean pooling, 2 pool_size
Failed at 5 conv, 64 nodes, 1 dense, 5 kernel_size, 0.5 dropout, mean pooling, 2 pool_size
Failed at 1 conv, 32 nodes, 0 dense, 3 kernel_size, 0.3 dropout, max pooling, 4 pool_size
Failed at 2 conv, 32 nodes, 0 dense, 3 kernel_size, 0.3 dropout, max pooling, 4 pool_size
Failed at 3 conv, 32 nodes, 0 dense, 3 kernel_size, 0.3 dropout, max pooling, 4 pool_size
Failed at 4 conv, 32 nodes, 0 dense, 3 kernel_size, 0.3 dropout, max pooling, 4 pool_size
Failed at 5 conv, 32 nodes, 0 dense, 3 kernel_size, 0.3 dropout, max pooling, 4 pool_size
Failed at 1 conv, 64 nodes, 0 dense, 3 kernel_size, 0.3 dropout, max pooling, 4 pool_size
Failed at 2 conv, 64 nodes, 0 dense, 3 kernel_size, 0.3 dropout, max pooling, 4 pool_size
Failed at 3 conv, 64 nodes, 0 dense, 3 kernel_size, 0.3 dropout, max pooling, 4 pool_size
Failed at 4 conv, 64 nodes, 0 dense, 3 kernel_size, 0.3 dropout, max pooling, 4 pool_size
Failed at 5 conv, 64 nodes, 0 dense, 3 kernel_size, 0.3 dropout, max pooling, 4 pool_size
Failed at 1 conv, 32 nodes, 1 dense, 3 kernel_size, 0.3 dropout, max pooling, 4 pool_size
Failed at 2 conv, 32 nodes, 1 dense, 3 kernel_size, 0.3 dropout, max pooling, 4 pool_size
Failed at 3 conv, 32 nodes, 1 dense, 3 kernel_size, 0.3 dropout, max pooling, 4 pool_size
Failed at 4 conv, 32 nodes, 1 dense, 3 kernel_size, 0.3 dropout, max pooling, 4 pool_size
Failed at 5 conv, 32 nodes, 1 dense, 3 kernel_size, 0.3 dropout, max pooling, 4 pool_size
Failed at 1 conv, 64 nodes, 1 dense, 3 kernel_size, 0.3 dropout, max pooling, 4 pool_size
Failed at 2 conv, 64 nodes, 1 dense, 3 kernel_size, 0.3 dropout, max pooling, 4 pool_size
Failed at 3 conv, 64 nodes, 1 dense, 3 kernel_size, 0.3 dropout, max pooling, 4 pool_size
Failed at 4 conv, 64 nodes, 1 dense, 3 kernel_size, 0.3 dropout, max pooling, 4 pool_size
Failed at 5 conv, 64 nodes, 1 dense, 3 kernel_size, 0.3 dropout, max pooling, 4 pool_size
Failed at 1 conv, 32 nodes, 0 dense, 3 kernel_size, 0.5 dropout, max pooling, 4 pool_size
Failed at 2 conv, 32 nodes, 0 dense, 3 kernel_size, 0.5 dropout, max pooling, 4 pool_size
Failed at 3 conv, 32 nodes, 0 dense, 3 kernel_size, 0.5 dropout, max pooling, 4 pool_size
Failed at 4 conv, 32 nodes, 0 dense, 3 kernel_size, 0.5 dropout, max pooling, 4 pool_size
Failed at 5 conv, 32 nodes, 0 dense, 3 kernel_size, 0.5 dropout, max pooling, 4 pool_size
Failed at 1 conv, 64 nodes, 0 dense, 3 kernel_size, 0.5 dropout, max pooling, 4 pool_size
Failed at 2 conv, 64 nodes, 0 dense, 3 kernel_size, 0.5 dropout, max pooling, 4 pool_size
Failed at 3 conv, 64 nodes, 0 dense, 3 kernel_size, 0.5 dropout, max pooling, 4 pool_size
Failed at 4 conv, 64 nodes, 0 dense, 3 kernel_size, 0.5 dropout, max pooling, 4 pool_size
Failed at 5 conv, 64 nodes, 0 dense, 3 kernel_size, 0.5 dropout, max pooling, 4 pool_size
Failed at 1 conv, 32 nodes, 1 dense, 3 kernel_size, 0.5 dropout, max pooling, 4 pool_size
Failed at 2 conv, 32 nodes, 1 dense, 3 kernel_size, 0.5 dropout, max pooling, 4 pool_size
Failed at 3 conv, 32 nodes, 1 dense, 3 kernel_size, 0.5 dropout, max pooling, 4 pool_size
Failed at 4 conv, 32 nodes, 1 dense, 3 kernel_size, 0.5 dropout, max pooling, 4 pool_size
Failed at 5 conv, 32 nodes, 1 dense, 3 kernel_size, 0.5 dropout, max pooling, 4 pool_size
Failed at 1 conv, 64 nodes, 1 dense, 3 kernel_size, 0.5 dropout, max pooling, 4 pool_size
Failed at 2 conv, 64 nodes, 1 dense, 3 kernel_size, 0.5 dropout, max pooling, 4 pool_size
Failed at 3 conv, 64 nodes, 1 dense, 3 kernel_size, 0.5 dropout, max pooling, 4 pool_size
Failed at 4 conv, 64 nodes, 1 dense, 3 kernel_size, 0.5 dropout, max pooling, 4 pool_size
Failed at 5 conv, 64 nodes, 1 dense, 3 kernel_size, 0.5 dropout, max pooling, 4 pool_size
Failed at 1 conv, 32 nodes, 0 dense, 5 kernel_size, 0.3 dropout, max pooling, 4 pool_size
Failed at 2 conv, 32 nodes, 0 dense, 5 kernel_size, 0.3 dropout, max pooling, 4 pool_size
Failed at 3 conv, 32 nodes, 0 dense, 5 kernel_size, 0.3 dropout, max pooling, 4 pool_size
Failed at 4 conv, 32 nodes, 0 dense, 5 kernel_size, 0.3 dropout, max pooling, 4 pool_size
Failed at 5 conv, 32 nodes, 0 dense, 5 kernel_size, 0.3 dropout, max pooling, 4 pool_size
Failed at 1 conv, 64 nodes, 0 dense, 5 kernel_size, 0.3 dropout, max pooling, 4 pool_size
Failed at 2 conv, 64 nodes, 0 dense, 5 kernel_size, 0.3 dropout, max pooling, 4 pool_size
Failed at 3 conv, 64 nodes, 0 dense, 5 kernel_size, 0.3 dropout, max pooling, 4 pool_size
Failed at 4 conv, 64 nodes, 0 dense, 5 kernel_size, 0.3 dropout, max pooling, 4 pool_size
Failed at 5 conv, 64 nodes, 0 dense, 5 kernel_size, 0.3 dropout, max pooling, 4 pool_size
Failed at 1 conv, 32 nodes, 1 dense, 5 kernel_size, 0.3 dropout, max pooling, 4 pool_size
Failed at 2 conv, 32 nodes, 1 dense, 5 kernel_size, 0.3 dropout, max pooling, 4 pool_size
Failed at 3 conv, 32 nodes, 1 dense, 5 kernel_size, 0.3 dropout, max pooling, 4 pool_size
Failed at 4 conv, 32 nodes, 1 dense, 5 kernel_size, 0.3 dropout, max pooling, 4 pool_size
Failed at 5 conv, 32 nodes, 1 dense, 5 kernel_size, 0.3 dropout, max pooling, 4 pool_size
Failed at 1 conv, 64 nodes, 1 dense, 5 kernel_size, 0.3 dropout, max pooling, 4 pool_size
Failed at 2 conv, 64 nodes, 1 dense, 5 kernel_size, 0.3 dropout, max pooling, 4 pool_size
Failed at 3 conv, 64 nodes, 1 dense, 5 kernel_size, 0.3 dropout, max pooling, 4 pool_size
Failed at 4 conv, 64 nodes, 1 dense, 5 kernel_size, 0.3 dropout, max pooling, 4 pool_size
Failed at 5 conv, 64 nodes, 1 dense, 5 kernel_size, 0.3 dropout, max pooling, 4 pool_size
Failed at 1 conv, 32 nodes, 0 dense, 5 kernel_size, 0.5 dropout, max pooling, 4 pool_size
Failed at 2 conv, 32 nodes, 0 dense, 5 kernel_size, 0.5 dropout, max pooling, 4 pool_size
Failed at 3 conv, 32 nodes, 0 dense, 5 kernel_size, 0.5 dropout, max pooling, 4 pool_size
Failed at 4 conv, 32 nodes, 0 dense, 5 kernel_size, 0.5 dropout, max pooling, 4 pool_size
Failed at 5 conv, 32 nodes, 0 dense, 5 kernel_size, 0.5 dropout, max pooling, 4 pool_size
Failed at 1 conv, 64 nodes, 0 dense, 5 kernel_size, 0.5 dropout, max pooling, 4 pool_size
Failed at 2 conv, 64 nodes, 0 dense, 5 kernel_size, 0.5 dropout, max pooling, 4 pool_size
Failed at 3 conv, 64 nodes, 0 dense, 5 kernel_size, 0.5 dropout, max pooling, 4 pool_size
Failed at 4 conv, 64 nodes, 0 dense, 5 kernel_size, 0.5 dropout, max pooling, 4 pool_size
Failed at 5 conv, 64 nodes, 0 dense, 5 kernel_size, 0.5 dropout, max pooling, 4 pool_size
Failed at 1 conv, 32 nodes, 1 dense, 5 kernel_size, 0.5 dropout, max pooling, 4 pool_size
Failed at 2 conv, 32 nodes, 1 dense, 5 kernel_size, 0.5 dropout, max pooling, 4 pool_size
Failed at 3 conv, 32 nodes, 1 dense, 5 kernel_size, 0.5 dropout, max pooling, 4 pool_size
Failed at 4 conv, 32 nodes, 1 dense, 5 kernel_size, 0.5 dropout, max pooling, 4 pool_size
Failed at 5 conv, 32 nodes, 1 dense, 5 kernel_size, 0.5 dropout, max pooling, 4 pool_size
Failed at 1 conv, 64 nodes, 1 dense, 5 kernel_size, 0.5 dropout, max pooling, 4 pool_size
Failed at 2 conv, 64 nodes, 1 dense, 5 kernel_size, 0.5 dropout, max pooling, 4 pool_size
Failed at 3 conv, 64 nodes, 1 dense, 5 kernel_size, 0.5 dropout, max pooling, 4 pool_size
Failed at 4 conv, 64 nodes, 1 dense, 5 kernel_size, 0.5 dropout, max pooling, 4 pool_size
Failed at 5 conv, 64 nodes, 1 dense, 5 kernel_size, 0.5 dropout, max pooling, 4 pool_size
Failed at 1 conv, 32 nodes, 0 dense, 3 kernel_size, 0.3 dropout, mean pooling, 4 pool_size
Failed at 2 conv, 32 nodes, 0 dense, 3 kernel_size, 0.3 dropout, mean pooling, 4 pool_size
Failed at 3 conv, 32 nodes, 0 dense, 3 kernel_size, 0.3 dropout, mean pooling, 4 pool_size
Failed at 4 conv, 32 nodes, 0 dense, 3 kernel_size, 0.3 dropout, mean pooling, 4 pool_size
Failed at 5 conv, 32 nodes, 0 dense, 3 kernel_size, 0.3 dropout, mean pooling, 4 pool_size
Failed at 1 conv, 64 nodes, 0 dense, 3 kernel_size, 0.3 dropout, mean pooling, 4 pool_size
Failed at 2 conv, 64 nodes, 0 dense, 3 kernel_size, 0.3 dropout, mean pooling, 4 pool_size
Failed at 3 conv, 64 nodes, 0 dense, 3 kernel_size, 0.3 dropout, mean pooling, 4 pool_size
Failed at 4 conv, 64 nodes, 0 dense, 3 kernel_size, 0.3 dropout, mean pooling, 4 pool_size
Failed at 5 conv, 64 nodes, 0 dense, 3 kernel_size, 0.3 dropout, mean pooling, 4 pool_size
Failed at 1 conv, 32 nodes, 1 dense, 3 kernel_size, 0.3 dropout, mean pooling, 4 pool_size
Failed at 2 conv, 32 nodes, 1 dense, 3 kernel_size, 0.3 dropout, mean pooling, 4 pool_size
Failed at 3 conv, 32 nodes, 1 dense, 3 kernel_size, 0.3 dropout, mean pooling, 4 pool_size
Failed at 4 conv, 32 nodes, 1 dense, 3 kernel_size, 0.3 dropout, mean pooling, 4 pool_size
Failed at 5 conv, 32 nodes, 1 dense, 3 kernel_size, 0.3 dropout, mean pooling, 4 pool_size
Failed at 1 conv, 64 nodes, 1 dense, 3 kernel_size, 0.3 dropout, mean pooling, 4 pool_size
Failed at 2 conv, 64 nodes, 1 dense, 3 kernel_size, 0.3 dropout, mean pooling, 4 pool_size
Failed at 3 conv, 64 nodes, 1 dense, 3 kernel_size, 0.3 dropout, mean pooling, 4 pool_size
Failed at 4 conv, 64 nodes, 1 dense, 3 kernel_size, 0.3 dropout, mean pooling, 4 pool_size
Failed at 5 conv, 64 nodes, 1 dense, 3 kernel_size, 0.3 dropout, mean pooling, 4 pool_size
Failed at 1 conv, 32 nodes, 0 dense, 3 kernel_size, 0.5 dropout, mean pooling, 4 pool_size
Failed at 2 conv, 32 nodes, 0 dense, 3 kernel_size, 0.5 dropout, mean pooling, 4 pool_size
Failed at 3 conv, 32 nodes, 0 dense, 3 kernel_size, 0.5 dropout, mean pooling, 4 pool_size
Failed at 4 conv, 32 nodes, 0 dense, 3 kernel_size, 0.5 dropout, mean pooling, 4 pool_size
Failed at 5 conv, 32 nodes, 0 dense, 3 kernel_size, 0.5 dropout, mean pooling, 4 pool_size
Failed at 1 conv, 64 nodes, 0 dense, 3 kernel_size, 0.5 dropout, mean pooling, 4 pool_size
Failed at 2 conv, 64 nodes, 0 dense, 3 kernel_size, 0.5 dropout, mean pooling, 4 pool_size
Failed at 3 conv, 64 nodes, 0 dense, 3 kernel_size, 0.5 dropout, mean pooling, 4 pool_size
Failed at 4 conv, 64 nodes, 0 dense, 3 kernel_size, 0.5 dropout, mean pooling, 4 pool_size
Failed at 5 conv, 64 nodes, 0 dense, 3 kernel_size, 0.5 dropout, mean pooling, 4 pool_size
Failed at 1 conv, 32 nodes, 1 dense, 3 kernel_size, 0.5 dropout, mean pooling, 4 pool_size
Failed at 2 conv, 32 nodes, 1 dense, 3 kernel_size, 0.5 dropout, mean pooling, 4 pool_size
Failed at 3 conv, 32 nodes, 1 dense, 3 kernel_size, 0.5 dropout, mean pooling, 4 pool_size
Failed at 4 conv, 32 nodes, 1 dense, 3 kernel_size, 0.5 dropout, mean pooling, 4 pool_size
Failed at 5 conv, 32 nodes, 1 dense, 3 kernel_size, 0.5 dropout, mean pooling, 4 pool_size
Failed at 1 conv, 64 nodes, 1 dense, 3 kernel_size, 0.5 dropout, mean pooling, 4 pool_size
